brand,model_year,mileage_km,engine_size_l,transmission,fuel_type,num_owners,condition_score,price
BMW,2011,173361,3.9,Automatic,Diesel,2,9,6433
Hyundai,2014,38892,3.9,Automatic,Electric,4,9,17724
Ford,2007,207268,2.1,Automatic,Electric,3,1,3800
Hyundai,2003,134662,4.3,Automatic,Electric,1,1,5528
Hyundai,2014,100057,2.3,Automatic,Gasoline,1,1,13664
Honda,2019,43409,3.9,Automatic,Electric,3,1,23322
Ford,2016,170542,1.5,Manual,Diesel,4,9,8532
Ford,2012,154457,1.7,Manual,Diesel,4,1,11050
Ford,2017,159368,2.3,Manual,Gasoline,1,7,13114
Hyundai,2001,123566,3.4,Automatic,Electric,2,6,4210
BMW,2012,66716,3.6,Automatic,Electric,2,9,14930
Ford,2012,94152,2.6,Automatic,Gasoline,1,9,13910
Chevrolet,2021,31382,1.3,Manual,Gasoline,1,4,22404
Hyundai,2014,81675,2.5,Manual,Electric,3,9,16519
Honda,2019,233668,3.8,Manual,Electric,3,6,9443
BMW,2009,27419,3.7,Manual,Diesel,3,5,16719
Chevrolet,2002,229393,1.6,Manual,Electric,3,9,-4976
Chevrolet,2018,86238,1.0,Manual,Electric,3,7,16793
Honda,2002,230825,4.0,Automatic,Diesel,3,9,1426
BMW,2021,175363,1.4,Manual,Diesel,2,5,10120
Hyundai,2013,17397,1.3,Automatic,Diesel,1,4,15300
Toyota,2007,242487,1.0,Manual,Diesel,4,10,-515
BMW,2022,62888,2.7,Manual,Gasoline,3,3,19062
Honda,2003,40169,3.0,Automatic,Diesel,2,5,13698
Chevrolet,2019,67182,3.6,Automatic,Gasoline,1,9,15292
Hyundai,2010,97476,2.2,Automatic,Diesel,1,3,11082
BMW,2010,47249,3.8,Manual,Diesel,1,1,14822
Toyota,2010,164413,1.7,Manual,Diesel,3,2,8317
Toyota,2001,80603,4.3,Automatic,Electric,3,10,9998
Ford,2016,182216,3.3,Manual,Gasoline,4,5,13200
Ford,2008,197844,3.3,Automatic,Diesel,3,3,9044
Honda,2001,84360,1.8,Manual,Electric,1,6,9354
BMW,2014,18444,1.3,Manual,Gasoline,1,8,15324
BMW,2015,181719,2.9,Manual,Gasoline,2,6,14403
Chevrolet,2003,128662,3.5,Automatic,Electric,2,10,5875
Chevrolet,2007,103843,1.4,Manual,Gasoline,4,9,10654
Chevrolet,2008,15974,4.8,Automatic,Electric,2,6,19524
Ford,2004,117150,4.9,Automatic,Diesel,4,5,14324
BMW,2015,174455,3.2,Automatic,Electric,2,4,13015
BMW,2012,99826,4.8,Automatic,Gasoline,1,2,13115
Toyota,2006,217624,1.7,Automatic,Gasoline,3,6,4878
Ford,2019,102648,1.1,Automatic,Diesel,3,2,14023
Hyundai,2016,230121,1.2,Automatic,Electric,4,5,9025
Ford,2002,139028,3.4,Automatic,Diesel,3,1,6560
Hyundai,2004,144149,1.2,Automatic,Electric,3,3,7776
Toyota,2018,41490,4.8,Manual,Electric,2,10,21409
Honda,2011,246435,1.6,Automatic,Electric,1,5,5783
BMW,2006,129713,2.2,Manual,Diesel,3,7,6805
Toyota,2008,239463,4.3,Automatic,Diesel,1,8,8120
BMW,2005,244714,1.9,Manual,Gasoline,2,7,-2802
Chevrolet,2016,60612,2.0,Manual,Diesel,2,7,17708
Honda,2015,105474,3.6,Manual,Electric,3,2,15390
Honda,2022,41159,2.1,Manual,Electric,3,6,20573
Toyota,2002,44710,1.9,Manual,Electric,2,5,5459
Honda,2020,219608,2.0,Manual,Diesel,2,9,9561
Hyundai,2003,149878,3.0,Automatic,Gasoline,4,10,9044
Honda,2009,118096,4.9,Automatic,Diesel,4,4,10841
BMW,2004,214417,4.3,Automatic,Gasoline,1,7,1974
BMW,2020,216463,2.1,Automatic,Diesel,2,8,8557
BMW,2021,112412,2.5,Automatic,Electric,1,6,18990
BMW,2009,99924,2.9,Automatic,Gasoline,2,3,12252
Hyundai,2011,11458,4.9,Manual,Diesel,1,5,21803
Ford,2009,135993,1.7,Automatic,Electric,4,1,9524
Chevrolet,2012,40524,2.4,Manual,Gasoline,2,8,14069
Toyota,2010,142925,3.9,Manual,Gasoline,2,2,14237
BMW,2021,45477,4.9,Manual,Electric,1,10,21537
Honda,2015,37222,1.6,Manual,Electric,1,7,14916
BMW,2007,23320,1.9,Manual,Diesel,3,9,14268
Honda,2007,99154,1.9,Manual,Diesel,3,1,10003
Chevrolet,2007,57243,1.1,Automatic,Electric,4,4,12438
Chevrolet,2012,181687,3.4,Manual,Diesel,2,7,8967
Chevrolet,2001,153424,3.7,Manual,Electric,2,9,8873
Honda,2011,77833,3.4,Automatic,Electric,1,2,12530
BMW,2009,98476,1.3,Automatic,Diesel,4,2,7508
Chevrolet,2011,119560,1.3,Automatic,Diesel,2,6,6129
Hyundai,2010,139275,1.8,Automatic,Gasoline,4,3,8294
Honda,2014,44267,2.2,Automatic,Gasoline,3,4,17679
Honda,2015,42941,4.1,Automatic,Diesel,1,3,19805
BMW,2016,87809,1.6,Automatic,Diesel,2,1,14547
Honda,2001,30368,1.2,Manual,Diesel,1,6,8440
Honda,2017,82186,2.6,Automatic,Gasoline,3,2,18284
Chevrolet,2011,35984,2.7,Manual,Diesel,4,2,15362
BMW,2018,178013,2.8,Automatic,Gasoline,4,7,12984
Chevrolet,2022,208990,4.3,Automatic,Gasoline,3,5,11603
Chevrolet,2017,188755,1.4,Manual,Gasoline,3,8,6135
BMW,2016,5801,3.8,Automatic,Gasoline,2,2,22031
Toyota,2005,111538,2.4,Automatic,Electric,2,10,13956
Chevrolet,2014,117201,2.2,Automatic,Diesel,2,8,13624
Hyundai,2002,52965,4.7,Automatic,Diesel,2,7,14084
Hyundai,2005,90269,2.0,Automatic,Electric,2,10,11276
Honda,2002,146041,3.6,Automatic,Diesel,4,8,6844
Hyundai,2000,40969,2.1,Automatic,Gasoline,2,3,5843
Honda,2012,218341,3.0,Manual,Electric,3,8,8951
Toyota,2020,168521,4.1,Automatic,Gasoline,3,6,17931
BMW,2013,96679,4.5,Manual,Electric,2,2,16056
BMW,2012,161777,4.4,Manual,Gasoline,3,6,11100
BMW,2003,196375,3.3,Manual,Diesel,1,5,4974
Hyundai,2006,33363,2.0,Manual,Diesel,4,3,12161
Toyota,2021,166792,3.6,Manual,Diesel,4,1,17151
Hyundai,2009,146044,3.8,Manual,Electric,2,7,10805
Hyundai,2006,38351,1.0,Manual,Diesel,1,2,12413
Toyota,2020,116023,2.8,Automatic,Electric,2,1,18053
Toyota,2014,172217,4.4,Automatic,Gasoline,2,1,13030
Toyota,2014,92948,3.0,Automatic,Diesel,3,7,14877
Toyota,2003,225686,2.2,Manual,Gasoline,4,1,-1804
BMW,2022,224188,4.5,Automatic,Diesel,1,9,14771
Ford,2022,61235,1.6,Manual,Gasoline,3,6,20698
Ford,2005,19855,1.8,Manual,Electric,4,4,9200
Toyota,2019,172241,3.7,Automatic,Diesel,4,4,14527
Ford,2004,182476,2.4,Manual,Electric,2,5,4497
Ford,2019,155641,3.9,Manual,Electric,1,2,9989
Toyota,2011,130074,1.6,Automatic,Gasoline,2,5,10464
Ford,2000,59437,2.0,Manual,Diesel,3,2,10694
Hyundai,2007,184578,1.6,Automatic,Electric,2,4,5030
Honda,2000,161810,4.8,Manual,Gasoline,2,10,2255
Honda,2004,142844,2.6,Manual,Gasoline,4,5,7375
Toyota,2021,95410,2.3,Automatic,Gasoline,4,6,19524
BMW,2005,24731,1.1,Automatic,Diesel,3,6,9958
Toyota,2020,146203,1.6,Automatic,Diesel,4,9,13409
